Date,Open,High,Low,Close
31/01/2024,4899.19,4906.75,4845.15,4845.65
30/01/2024,4925.89,4931.09,4916.27,4924.97
29/01/2024,4892.95,4929.31,4887.4,4927.93
26/01/2024,4888.91,4906.69,4881.47,4890.97
25/01/2024,4886.66,4898.15,4869.34,4894.16
24/01/2024,4888.56,4903.68,4865.94,4868.55
23/01/2024,4856.8,4866.48,4844.37,4864.6
22/01/2024,4853.42,4868.41,4844.05,4850.43
19/01/2024,4796.28,4842.07,4785.87,4839.81
18/01/2024,4760.1,4785.79,4740.57,4780.94
17/01/2024,4739.13,4744.23,4714.82,4739.21
16/01/2024,4772.35,4782.34,4747.12,4765.98
12/01/2024,4791.18,4802.4,4768.98,4783.83
11/01/2024,4792.13,4798.5,4739.58,4780.24
10/01/2024,4759.94,4790.8,4756.2,4783.45
09/01/2024,4741.93,4765.47,4730.35,4756.5
08/01/2024,4703.7,4764.54,4699.82,4763.54
05/01/2024,4690.57,4721.49,4682.11,4697.24
04/01/2024,4697.42,4726.78,4687.53,4688.68
03/01/2024,4725.07,4729.29,4699.71,4704.81
02/01/2024,4745.2,4754.33,4722.67,4742.83
29/12/2023,4782.88,4788.43,4751.99,4769.83
28/12/2023,4786.44,4793.3,4780.98,4783.35
27/12/2023,4773.45,4785.39,4768.9,4781.58
26/12/2023,4758.86,4784.72,4758.45,4774.75
22/12/2023,4753.92,4772.94,4736.77,4754.63
21/12/2023,4724.29,4748.71,4708.35,4746.75
20/12/2023,4764.73,4778.01,4697.82,4698.35
19/12/2023,4743.72,4768.69,4743.72,4768.37
18/12/2023,4725.58,4749.52,4725.58,4740.56
15/12/2023,4714.23,4725.53,4704.69,4719.19
14/12/2023,4721.04,4738.57,4694.34,4719.55
13/12/2023,4646.2,4709.69,4643.23,4707.09
12/12/2023,4618.3,4643.93,4608.09,4643.7
11/12/2023,4593.39,4623.71,4593.39,4622.44
08/12/2023,4576.2,4609.23,4574.06,4604.37
07/12/2023,4568.84,4590.92,4565.22,4585.59
06/12/2023,4586.23,4590.74,4546.5,4549.34
05/12/2023,4557.25,4578.56,4551.68,4567.18
04/12/2023,4564.37,4572.37,4546.72,4569.78
01/12/2023,4559.43,4599.39,4554.71,4594.63
30/11/2023,4554.87,4569.89,4537.24,4567.8
29/11/2023,4571.84,4587.64,4547.15,4550.58
28/11/2023,4545.55,4568.14,4540.51,4554.89
27/11/2023,4554.86,4560.52,4546.32,4550.43
24/11/2023,4555.84,4560.31,4552.8,4559.34
22/11/2023,4553.04,4568.43,4545.05,4556.62
21/11/2023,4538.77,4542.14,4525.51,4538.19
20/11/2023,4511.7,4557.11,4510.36,4547.38
17/11/2023,4509.55,4520.12,4499.66,4514.02
16/11/2023,4497.08,4511.99,4487.83,4508.24
15/11/2023,4505.3,4521.17,4495.31,4502.88
14/11/2023,4458.97,4508.67,4458.97,4495.7
13/11/2023,4406.66,4421.76,4393.82,4411.55
10/11/2023,4364.15,4418.03,4353.34,4415.24
09/11/2023,4391.41,4393.4,4343.94,4347.35
08/11/2023,4384.37,4391.2,4359.76,4382.78
07/11/2023,4366.21,4386.26,4355.41,4378.38
06/11/2023,4364.27,4372.21,4347.53,4365.98
03/11/2023,4334.23,4373.62,4334.23,4358.34
02/11/2023,4268.26,4319.72,4268.26,4317.78
01/11/2023,4201.27,4245.64,4197.74,4237.86
31/10/2023,4171.33,4195.55,4153.12,4193.8
30/10/2023,4139.39,4177.47,4132.94,4166.82
27/10/2023,4152.93,4156.7,4103.78,4117.37
26/10/2023,4175.99,4183.6,4127.9,4137.23
25/10/2023,4232.42,4232.42,4181.42,4186.77
24/10/2023,4235.79,4259.38,4219.43,4247.68
23/10/2023,4210.4,4255.84,4189.22,4217.04
20/10/2023,4273.85,4276.56,4223.03,4224.16
19/10/2023,4321.36,4339.54,4269.69,4278
18/10/2023,4357.35,4364.2,4303.84,4314.6
17/10/2023,4345.23,4393.57,4337.54,4373.2
16/10/2023,4342.37,4383.33,4342.37,4373.63
13/10/2023,4360.49,4377.1,4311.97,4327.78
12/10/2023,4380.94,4385.85,4325.43,4349.61
11/10/2023,4366.59,4378.64,4345.34,4376.95
10/10/2023,4339.75,4385.46,4339.64,4358.24
09/10/2023,4289.02,4341.73,4283.79,4335.66
06/10/2023,4234.79,4324.1,4219.55,4308.5
05/10/2023,4259.31,4267.13,4225.91,4258.19
04/10/2023,4233.83,4268.5,4220.48,4263.75
03/10/2023,4269.75,4281.15,4216.45,4229.45
02/10/2023,4284.52,4300.58,4260.21,4288.39
29/09/2023,4328.18,4333.15,4274.86,4288.05
28/09/2023,4269.65,4317.27,4264.38,4299.7
27/09/2023,4282.63,4292.07,4238.63,4274.51
26/09/2023,4312.88,4313.01,4265.98,4273.53
25/09/2023,4310.62,4338.51,4302.7,4337.44
22/09/2023,4341.74,4357.4,4316.49,4320.06
21/09/2023,4374.36,4375.7,4329.17,4330
20/09/2023,4452.81,4461.03,4401.38,4402.2
19/09/2023,4445.41,4449.85,4416.61,4443.95
18/09/2023,4445.13,4466.36,4442.11,4453.53
15/09/2023,4497.98,4497.98,4447.21,4450.32
14/09/2023,4487.78,4511.99,4478.69,4505.1
13/09/2023,4462.65,4479.39,4453.52,4467.44
12/09/2023,4473.27,4487.11,4456.83,4461.9
11/09/2023,4480.98,4490.77,4467.89,4487.46
